epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,451.331,1.04728,2.11894,1.52382,0.00351,0.5,0.08635,0.03772,2.14217,3.93669,2.68413,0.000463102,0.000463102,0.000463102
2,823.819,0.7575,1.21382,1.27379,0.00381,0.5,0.02494,0.01215,1.83884,5.521,2.54222,0.000920834,0.000920834,0.000920834
3,1170.18,0.70785,1.09113,1.24352,0.00414,0.5,0.05068,0.03079,1.8189,6.61669,2.5958,0.0013597,0.0013597,0.0013597
4,1524.02,0.6781,1.01348,1.22433,0.00402,0.5,0.00976,0.00522,1.75568,4.99436,2.24293,0.00134412,0.00134412,0.00134412
5,1868.82,0.66667,0.89593,1.20604,0.00412,0.5,0.02279,0.0113,1.7493,4.33669,2.65791,0.00131582,0.00131582,0.00131582
6,2189.76,0.64567,0.84104,1.19948,0.00547,0.5,0.1963,0.10855,1.63926,4.6363,2.47379,0.00128753,0.00128753,0.00128753
7,2531.75,0.61202,0.76915,1.15416,0.00434,0.5,0.15045,0.07253,1.8048,4.71534,2.53588,0.00125923,0.00125923,0.00125923
8,2864.8,0.59102,0.71881,1.1589,0.0053,0.5,0.09521,0.04455,1.84617,5.32191,2.8741,0.00123094,0.00123094,0.00123094
9,3221.41,0.5713,0.65488,1.14607,0.00445,0.475,0.06987,0.02105,1.55258,4.64834,2.40483,0.00120265,0.00120265,0.00120265
10,3653.89,0.53499,0.6241,1.11006,0.03086,0.5,0.35655,0.09673,1.71083,5.25633,2.7588,0.00117435,0.00117435,0.00117435
11,4023.39,0.51642,0.59451,1.09146,0.02653,0.5,0.07354,0.03159,1.56017,4.49431,2.29469,0.00114606,0.00114606,0.00114606
